Unnamed: 0,location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,shot_id_number
25,0.0,0.0,2.0,3.0,0.0,36.0,20.0,0.0,0,0,4,26
26,0.0,196.0,2.0,3.0,0.0,4.0,40.0,0.0,0,4,0,27
27,-183.0,186.0,0.0,3.0,0.0,30.0,46.0,0.0,1,5,1,28
28,85.0,173.0,8.0,4.0,0.0,28.329381850668316,39.0,0.0,4,4,0,29
29,3.0,87.0,6.0,4.0,0.0,22.0,28.0,0.0,0,1,2,30
30,121.0,4.0,1.0,4.0,0.0,20.0,35.0,1.0,5,4,2,31
31,127.0,34.0,0.0,4.0,0.0,30.0,33.0,0.0,5,-1,2,32
32,163.0,76.0,11.0,1.0,0.0,26.0,37.0,,5,4,0,33
33,70.0,194.0,10.0,1.0,0.0,58.0,40.0,,4,4,0,34
34,1.0,19.0,7.0,1.0,0.0,33.0,21.0,,0,0,4,35
35,-12.0,74.0,5.0,1.0,0.0,58.0,21.0,,0,0,4,36
36,1.0,4.0,4.0,1.0,0.0,9.0,20.0,,0,0,-1,37
37,-117.0,116.0,5.0,2.0,0.0,33.0,36.0,,1,4,-1,38
38,91.0,184.0,3.0,2.0,0.0,30.0,40.0,1.0,4,4,0,39
39,-27.0,272.0,0.0,2.0,0.0,4.0,47.0,1.0,0,5,1,40
40,-176.0,66.0,11.0,3.0,0.0,12.0,38.0,0.0,2,4,0,41
41,7.0,4.0,10.0,3.0,0.0,13.0,20.0,1.0,0,0,4,42
42,150.0,133.0,8.0,3.0,0.0,59.0,40.0,1.0,4,4,0,43
43,49.0,15.0,8.0,3.0,0.0,29.0,25.0,0.0,0,1,4,44
44,-12.0,19.0,4.0,3.0,0.0,28.329381850668316,22.0,,0,0,4,45
45,-4.0,4.0,3.0,3.0,0.0,21.0,20.0,1.0,0,0,4,46
46,-4.0,74.0,2.0,3.0,0.0,55.0,35.0,0.0,0,0,-1,47
47,1.0,9.0,2.0,3.0,0.0,28.329381850668316,20.0,1.0,0,0,4,48
48,121.0,120.0,4.0,4.0,0.0,55.0,37.0,1.0,4,-1,0,49
49,-176.0,30.0,3.0,4.0,0.0,19.0,37.0,,2,4,-1,50
50,1.0,9.0,1.0,4.0,0.0,8.0,20.0,0.0,0,0,4,51
51,-12.0,9.0,1.0,4.0,0.0,6.0,21.0,0.0,0,0,4,52
52,24.0,70.0,10.0,1.0,0.0,33.0,27.0,0.0,0,1,4,53
53,-189.0,-4.0,10.0,1.0,0.0,4.0,38.0,0.0,2,4,0,54
54,-141.0,247.0,4.0,1.0,0.0,58.0,48.0,,1,5,1,55
55,-155.0,194.0,2.0,1.0,0.0,33.0,44.0,0.0,1,5,1,56
56,1.0,228.0,4.883233224643899,2.0,0.0,26.0,42.0,1.0,0,4,0,57
57,0.0,0.0,8.0,2.0,0.0,40.0,20.0,1.0,0,0,4,58
58,0.0,0.0,4.0,2.0,0.0,5.0,20.0,1.0,0,0,4,59
59,146.0,74.0,3.0,2.0,0.0,10.0,48.0,,4,5,1,60
60,-33.0,108.0,2.0,2.0,0.0,2.0,31.0,0.0,0,1,2,61
61,22.0,49.0,0.0,2.0,0.0,47.0,25.0,,0,1,4,62
62,0.0,74.0,4.883233224643899,3.0,0.0,32.0,20.0,0.0,0,0,4,63
63,0.0,21.0,0.0,3.0,0.0,37.0,25.0,0.0,0,1,4,64
64,121.0,26.0,0.0,3.0,0.0,1.0,32.0,1.0,5,-1,2,65
65,-10.0,91.0,10.0,4.0,0.0,13.0,29.0,,0,1,-1,66
66,-119.0,36.0,9.0,1.0,0.0,6.0,32.0,,2,4,2,67
67,231.0,57.0,8.0,1.0,0.0,17.0,43.0,0.0,5,6,1,68
68,0.0,0.0,7.0,1.0,0.0,53.0,20.0,1.0,-1,0,4,69
69,0.0,0.0,7.0,1.0,0.0,1.0,20.0,1.0,0,0,4,70
70,159.0,110.0,5.0,1.0,0.0,15.0,39.0,,5,4,0,71
71,7.0,257.0,3.0,1.0,0.0,11.0,45.0,,0,5,1,72
72,0.0,74.0,7.0,2.0,0.0,56.0,20.0,1.0,0,0,4,73
73,51.0,57.0,2.0,2.0,0.0,40.0,27.0,0.0,0,-1,4,74
74,167.0,190.0,0.0,2.0,0.0,28.329381850668316,45.0,0.0,4,5,1,75
75,-119.0,190.0,11.0,3.0,0.0,2.0,42.0,,1,4,0,76
76,16.0,57.0,9.0,3.0,0.0,10.0,35.0,0.0,0,1,4,77
77,-84.0,110.0,7.0,3.0,0.0,24.0,33.0,0.0,2,4,2,78
78,-71.0,42.0,0.0,3.0,0.0,1.0,28.0,0.0,2,1,2,79
79,58.0,47.0,11.0,4.0,0.0,49.0,27.0,,0,1,4,80
80,30.0,133.0,5.0,4.0,0.0,1.0,33.0,1.0,0,1,2,81
81,1.0,156.0,0.0,4.0,0.0,46.0,35.0,0.0,0,4,2,82
82,132.0,211.0,11.0,1.0,0.0,41.0,44.0,0.0,4,5,1,83
83,-8.0,4.0,4.883233224643899,1.0,0.0,59.0,20.0,0.0,0,0,4,84
84,-29.0,70.0,9.0,1.0,0.0,48.0,27.0,,0,1,4,85
85,-124.0,49.0,7.0,3.0,0.0,26.0,33.0,,2,4,2,86
86,132.0,127.0,6.0,1.0,0.0,36.0,38.0,,4,4,0,87
87,-29.0,188.0,4.883233224643899,1.0,0.0,54.0,39.0,1.0,0,-1,0,88
88,140.0,76.0,2.0,1.0,0.0,24.0,35.0,1.0,5,4,2,89
89,140.0,0.0,1.0,1.0,0.0,48.0,34.0,1.0,5,4,2,90
90,-1.0,156.0,1.0,1.0,0.0,25.0,35.0,1.0,0,4,2,91
91,-151.0,4.0,0.0,1.0,0.0,47.0,35.0,,2,4,2,92
92,110.0,76.0,4.883233224643899,2.0,0.0,57.0,33.0,0.0,5,-1,2,93
93,132.0,87.0,9.0,2.0,0.0,37.0,35.0,0.0,5,-1,2,94
94,0.0,4.0,4.0,2.0,0.0,25.0,33.0,,5,4,2,95
95,-58.0,251.0,3.0,2.0,0.0,50.0,45.0,1.0,0,5,1,96
96,-94.0,160.0,3.0,2.0,0.0,15.0,38.0,,1,4,0,97
97,-193.0,150.0,0.0,2.0,0.0,28.329381850668316,44.0,0.0,1,5,1,98
98,140.0,0.0,0.0,3.0,0.0,48.0,34.0,1.0,5,4,2,99
99,0.0,9.0,11.0,3.0,0.0,28.329381850668316,24.0,0.0,0,1,4,100
100,24.0,150.0,9.0,3.0,0.0,20.0,35.0,0.0,0,4,2,101
101,-1.0,0.0,7.0,3.0,0.0,53.0,20.0,1.0,0,0,4,102
102,119.0,133.0,6.0,3.0,0.0,40.0,37.0,1.0,4,-1,0,103
103,-101.0,137.0,4.0,3.0,0.0,16.0,37.0,,1,4,0,104
104,119.0,19.0,3.0,3.0,0.0,0.0,32.0,0.0,5,4,-1,105
105,-193.0,42.0,0.0,3.0,0.0,48.0,39.0,0.0,2,4,0,106
106,-166.0,55.0,0.0,3.0,0.0,21.0,37.0,0.0,2,4,0,107
107,24.0,116.0,10.0,4.0,0.0,39.0,31.0,0.0,0,1,2,108
108,-65.0,156.0,7.0,4.0,0.0,8.0,36.0,0.0,1,4,0,109
109,-166.0,26.0,6.0,4.0,0.0,25.0,36.0,1.0,2,4,0,110
110,-58.0,76.0,5.0,4.0,0.0,14.0,29.0,0.0,2,1,2,111
111,-37.0,70.0,3.0,4.0,0.0,38.0,27.0,0.0,0,1,4,112
112,-151.0,150.0,0.0,4.0,0.0,43.0,41.0,,1,4,0,113
113,-94.0,188.0,11.0,1.0,0.0,9.0,41.0,0.0,1,4,0,114
114,0.0,0.0,10.0,1.0,0.0,17.0,20.0,0.0,0,0,4,115
115,0.0,0.0,4.883233224643899,1.0,0.0,23.0,20.0,0.0,0,0,4,116
116,0.0,74.0,9.0,1.0,0.0,21.0,20.0,0.0,0,0,-1,117
117,0.0,0.0,3.0,1.0,0.0,2.0,20.0,1.0,0,0,4,118
118,0.0,0.0,0.0,1.0,0.0,44.0,20.0,1.0,0,0,4,119
119,85.0,141.0,0.0,1.0,0.0,21.0,36.0,0.0,4,4,0,120
120,0.0,158.0,8.0,2.0,0.0,50.0,38.0,1.0,1,4,0,121
121,0.0,0.0,8.0,2.0,0.0,18.0,20.0,,0,0,4,122
122,-155.0,74.0,2.0,2.0,0.0,40.0,36.0,,-1,4,0,123
123,0.0,74.0,0.0,2.0,0.0,28.329381850668316,20.0,1.0,0,0,4,124
124,1.0,276.0,0.0,2.0,0.0,4.0,47.0,1.0,0,5,-1,125
125,-96.0,74.0,9.0,3.0,0.0,59.0,36.0,,1,4,0,126
126,155.0,-8.0,8.0,3.0,0.0,38.0,35.0,1.0,5,4,2,127
127,-155.0,13.0,5.0,3.0,0.0,18.0,35.0,1.0,2,4,2,128
128,-84.0,133.0,4.0,3.0,0.0,34.0,35.0,0.0,2,4,2,129
129,-178.0,-8.0,3.0,3.0,0.0,51.0,37.0,0.0,2,4,0,130
130,16.0,89.0,3.0,3.0,0.0,40.0,29.0,0.0,0,1,2,131
131,-48.0,106.0,3.0,3.0,0.0,33.0,31.0,1.0,0,1,2,132
132,0.0,0.0,2.0,3.0,0.0,56.0,20.0,,0,0,4,133
133,-170.0,13.0,2.0,3.0,0.0,5.0,37.0,,2,4,0,134
134,-119.0,133.0,0.0,3.0,0.0,14.0,37.0,0.0,1,4,0,135
135,9.0,40.0,10.0,4.0,0.0,52.0,24.0,0.0,0,1,4,136
136,-84.0,82.0,6.0,4.0,0.0,34.0,31.0,0.0,2,4,2,137
137,9.0,59.0,4.0,4.0,0.0,57.0,25.0,0.0,0,1,4,138
138,0.0,0.0,3.0,4.0,0.0,28.0,20.0,1.0,0,0,4,139
139,9.0,59.0,1.0,4.0,0.0,38.0,25.0,1.0,0,1,4,140
140,45.0,36.0,1.0,4.0,0.0,5.0,25.0,,0,1,4,141
141,0.0,0.0,1.0,4.0,0.0,3.0,20.0,0.0,0,0,4,142
142,0.0,0.0,7.0,1.0,0.0,43.0,20.0,0.0,0,0,4,143
143,237.0,11.0,4.0,1.0,0.0,52.0,43.0,,5,6,1,144
144,0.0,0.0,3.0,1.0,0.0,8.0,20.0,1.0,0,0,4,145
145,129.0,-4.0,2.0,1.0,0.0,25.0,32.0,1.0,5,4,2,146
146,-98.0,97.0,0.0,1.0,0.0,48.0,33.0,1.0,2,4,2,147
147,167.0,78.0,11.0,2.0,0.0,16.0,38.0,0.0,5,4,0,148
148,108.0,249.0,10.0,2.0,0.0,19.0,47.0,0.0,4,5,1,149
149,0.0,74.0,10.0,2.0,0.0,5.0,35.0,,0,0,4,150
150,100.0,175.0,9.0,2.0,0.0,7.0,40.0,1.0,4,4,0,151
151,7.0,169.0,4.0,2.0,0.0,14.0,36.0,,0,4,0,152
152,0.0,0.0,3.0,2.0,0.0,22.0,35.0,,0,0,4,153
153,0.0,0.0,1.0,2.0,0.0,54.0,20.0,0.0,0,0,4,154
154,0.0,0.0,4.883233224643899,2.0,0.0,28.0,20.0,0.0,0,0,4,155
155,0.0,0.0,0.0,2.0,0.0,26.0,20.0,,0,0,4,156
156,115.0,169.0,10.0,3.0,0.0,23.0,40.0,0.0,4,4,0,157
157,1.0,72.0,5.0,3.0,0.0,23.0,27.0,0.0,0,1,4,158
158,0.0,0.0,3.0,3.0,0.0,53.0,20.0,,0,0,4,159
159,0.0,0.0,0.0,3.0,0.0,37.0,20.0,1.0,0,0,4,160
160,113.0,230.0,4.883233224643899,3.0,0.0,43.0,45.0,1.0,4,5,1,161
161,0.0,0.0,10.0,4.0,0.0,28.0,20.0,1.0,0,0,-1,162
162,0.0,0.0,10.0,4.0,0.0,11.0,20.0,1.0,0,0,4,163
163,0.0,0.0,5.0,4.0,0.0,37.0,20.0,0.0,0,0,4,164
164,0.0,0.0,5.0,4.0,0.0,32.0,35.0,,0,0,4,165
165,98.0,194.0,11.0,1.0,0.0,42.0,41.0,1.0,4,4,0,166
166,-117.0,184.0,4.883233224643899,1.0,0.0,7.0,41.0,0.0,1,4,0,167
167,0.0,-2.0,8.0,1.0,0.0,53.0,36.0,0.0,2,4,0,168
168,70.0,36.0,8.0,1.0,0.0,16.0,27.0,0.0,0,1,4,169
169,0.0,0.0,7.0,1.0,0.0,43.0,35.0,0.0,0,0,4,170
170,-37.0,42.0,2.0,1.0,0.0,47.0,25.0,1.0,-1,1,4,171
171,70.0,194.0,1.0,1.0,0.0,36.0,40.0,,4,4,0,172
172,163.0,116.0,1.0,1.0,0.0,28.329381850668316,40.0,0.0,5,4,0,173
173,113.0,179.0,8.0,2.0,0.0,13.0,41.0,1.0,4,4,0,174
174,169.0,-2.0,6.0,2.0,0.0,27.0,36.0,1.0,5,4,0,175
175,91.0,156.0,0.0,2.0,0.0,52.0,38.0,0.0,-1,4,0,176
176,134.0,93.0,0.0,2.0,0.0,19.0,36.0,0.0,5,4,0,177
177,47.0,477.0,0.0,2.0,0.0,0.0,67.0,0.0,3,3,3,178
178,11.0,137.0,8.0,3.0,0.0,52.0,33.0,0.0,0,1,-1,179
179,199.0,13.0,2.0,3.0,0.0,55.0,39.0,0.0,5,4,0,180
180,0.0,236.0,0.0,3.0,0.0,1.0,44.0,0.0,4,5,1,181
181,0.0,0.0,11.0,4.0,0.0,44.0,20.0,,0,0,4,182
182,11.0,247.0,4.883233224643899,4.0,0.0,18.0,44.0,0.0,0,5,1,183
183,-103.0,230.0,5.0,4.0,0.0,43.0,45.0,0.0,1,5,-1,184
184,-31.0,247.0,0.0,4.0,0.0,2.0,44.0,1.0,-1,5,1,185
185,-10.0,99.0,2.0,5.0,0.0,5.0,29.0,1.0,0,1,2,186
186,13.0,100.0,2.0,5.0,0.0,28.329381850668316,30.0,0.0,0,1,2,187
187,-73.0,200.0,0.0,5.0,0.0,24.0,41.0,1.0,1,4,0,188
188,0.0,184.0,10.0,1.0,0.0,5.0,39.0,1.0,1,4,0,189
189,188.0,177.0,9.0,1.0,0.0,7.0,45.0,0.0,4,-1,1,190
190,0.0,0.0,8.0,1.0,0.0,15.0,20.0,0.0,0,0,4,191
191,174.0,-6.0,6.0,1.0,0.0,24.0,37.0,,5,4,0,192
192,0.0,0.0,6.0,1.0,0.0,2.0,20.0,,0,0,4,193
193,-128.0,137.0,4.0,1.0,0.0,22.0,38.0,0.0,1,4,0,194
194,0.0,0.0,4.0,1.0,0.0,9.0,20.0,1.0,0,0,4,195
195,153.0,4.0,0.0,1.0,0.0,18.0,35.0,,5,4,2,196
196,1.0,93.0,11.0,2.0,0.0,19.0,29.0,0.0,0,1,2,197
197,115.0,160.0,6.0,2.0,0.0,51.0,39.0,1.0,4,4,0,198
198,159.0,200.0,6.0,2.0,0.0,11.0,45.0,1.0,4,5,1,199
199,167.0,0.0,0.0,2.0,0.0,28.329381850668316,36.0,0.0,5,4,0,200
200,-162.0,245.0,11.0,3.0,0.0,17.0,49.0,0.0,1,5,1,201
201,-162.0,66.0,10.0,3.0,0.0,5.0,37.0,,2,4,0,202
202,167.0,-6.0,8.0,3.0,0.0,35.0,36.0,0.0,5,4,0,203
203,-4.0,150.0,6.0,3.0,0.0,24.0,35.0,1.0,0,4,2,204
204,-185.0,9.0,5.0,3.0,0.0,1.0,38.0,,2,4,0,205
205,237.0,19.0,3.0,3.0,0.0,21.0,35.0,1.0,5,6,-1,206
206,-229.0,19.0,0.0,3.0,0.0,47.0,35.0,1.0,2,2,1,207
207,0.0,0.0,11.0,4.0,0.0,10.0,20.0,0.0,0,0,4,208
208,0.0,0.0,7.0,4.0,0.0,10.0,20.0,1.0,0,0,4,209
209,-214.0,156.0,5.0,4.0,0.0,19.0,46.0,,1,5,1,210
210,-149.0,137.0,3.0,4.0,0.0,38.0,40.0,,1,4,0,211
211,37.0,82.0,1.0,4.0,0.0,18.0,28.0,1.0,0,1,2,212
212,-42.0,87.0,0.0,4.0,0.0,46.0,29.0,0.0,-1,1,2,213
213,28.0,247.0,9.0,1.0,0.0,3.0,44.0,0.0,0,5,1,214
214,7.0,74.0,6.0,1.0,0.0,10.0,29.0,0.0,-1,1,2,215
215,0.0,0.0,3.0,1.0,0.0,10.0,20.0,1.0,-1,0,4,216
216,0.0,0.0,0.0,1.0,0.0,13.0,20.0,0.0,0,0,4,217
217,0.0,0.0,7.0,2.0,0.0,28.329381850668316,20.0,1.0,0,0,4,218
218,115.0,135.0,6.0,2.0,0.0,3.0,37.0,0.0,4,4,0,219
219,142.0,184.0,0.0,3.0,0.0,44.0,43.0,0.0,4,4,0,220
220,0.0,0.0,11.0,3.0,0.0,24.0,20.0,1.0,0,0,4,221
221,0.0,0.0,10.0,3.0,0.0,19.0,20.0,1.0,0,0,4,222
222,79.0,163.0,9.0,3.0,0.0,45.0,38.0,0.0,4,4,0,223
223,142.0,141.0,7.0,3.0,0.0,22.0,40.0,1.0,4,4,0,224
224,30.0,125.0,4.883233224643899,3.0,0.0,43.0,32.0,0.0,0,1,2,225
225,-60.0,97.0,4.0,3.0,0.0,55.0,31.0,1.0,2,1,2,226
226,0.0,0.0,1.0,3.0,0.0,34.0,20.0,0.0,0,0,4,227
227,0.0,0.0,0.0,3.0,0.0,4.0,20.0,,0,0,4,228
228,115.0,245.0,11.0,4.0,0.0,13.0,47.0,0.0,4,5,1,229
229,-132.0,184.0,10.0,4.0,0.0,52.0,35.0,0.0,1,4,0,230
230,0.0,0.0,10.0,4.0,0.0,12.0,20.0,0.0,0,0,4,231
231,0.0,0.0,10.0,4.0,0.0,8.0,20.0,0.0,0,0,4,232
232,-25.0,76.0,2.0,4.0,0.0,28.329381850668316,28.0,1.0,0,1,2,233
233,-145.0,108.0,1.0,4.0,0.0,37.0,38.0,0.0,1,4,0,234
234,-208.0,-29.0,0.0,4.0,0.0,31.0,41.0,0.0,2,4,0,235
235,-105.0,148.0,10.0,1.0,0.0,5.0,38.0,1.0,1,4,0,236
236,-48.0,175.0,8.0,1.0,0.0,0.0,38.0,0.0,0,4,0,237
237,0.0,247.0,4.0,1.0,0.0,58.0,45.0,0.0,0,5,1,238
238,0.0,0.0,2.0,1.0,0.0,36.0,20.0,1.0,0,0,4,239
239,0.0,0.0,2.0,1.0,0.0,20.0,20.0,0.0,0,0,4,240
240,0.0,0.0,2.0,1.0,0.0,8.0,20.0,1.0,0,0,4,241
241,142.0,226.0,1.0,1.0,0.0,43.0,46.0,1.0,4,5,1,242
242,0.0,0.0,10.0,2.0,0.0,17.0,20.0,1.0,0,0,4,243
243,-63.0,171.0,9.0,2.0,0.0,16.0,38.0,1.0,1,4,0,244
244,0.0,0.0,3.0,2.0,0.0,34.0,20.0,1.0,0,0,4,245
245,64.0,74.0,2.0,2.0,0.0,30.0,38.0,1.0,4,4,0,246
246,0.0,0.0,9.0,3.0,0.0,52.0,20.0,1.0,0,0,4,247
247,0.0,0.0,9.0,3.0,0.0,12.0,35.0,1.0,0,0,4,248
248,115.0,236.0,6.0,3.0,0.0,31.0,46.0,1.0,4,5,1,249
249,0.0,0.0,6.0,3.0,0.0,9.0,20.0,,0,0,4,250
250,163.0,7.0,5.0,3.0,0.0,20.0,36.0,0.0,5,-1,0,251
251,0.0,0.0,2.0,3.0,0.0,6.0,20.0,0.0,0,0,4,252
252,0.0,0.0,2.0,3.0,0.0,0.0,20.0,1.0,0,0,4,253
253,0.0,74.0,1.0,3.0,0.0,26.0,35.0,1.0,0,0,4,254
254,64.0,40.0,10.0,1.0,0.0,33.0,27.0,0.0,0,-1,4,255
255,-105.0,-2.0,7.0,1.0,0.0,33.0,30.0,1.0,-1,4,2,256
256,106.0,154.0,6.0,1.0,0.0,28.329381850668316,35.0,,4,4,0,257
257,0.0,0.0,5.0,1.0,0.0,52.0,20.0,1.0,0,0,4,258
258,64.0,95.0,3.0,1.0,0.0,56.0,31.0,1.0,5,1,2,259
259,0.0,154.0,3.0,1.0,0.0,25.0,38.0,,-1,4,0,260
260,-132.0,2.0,1.0,1.0,0.0,4.0,33.0,1.0,2,4,2,261
261,73.0,17.0,10.0,3.0,0.0,53.0,27.0,,0,1,4,262
262,0.0,0.0,9.0,3.0,0.0,45.0,20.0,1.0,0,0,4,263
263,115.0,137.0,9.0,3.0,0.0,18.0,37.0,,4,4,0,264
264,-132.0,154.0,6.0,3.0,0.0,24.0,40.0,0.0,1,-1,0,265
265,0.0,0.0,5.0,3.0,0.0,58.0,20.0,1.0,0,0,4,266
266,-141.0,-19.0,3.0,3.0,0.0,12.0,34.0,,2,4,2,267
267,235.0,23.0,2.0,3.0,0.0,42.0,43.0,0.0,5,6,1,268
268,28.0,175.0,0.0,3.0,0.0,21.0,37.0,1.0,0,4,0,269
269,184.0,171.0,11.0,4.0,0.0,38.0,45.0,1.0,4,5,1,270
270,127.0,61.0,9.0,4.0,0.0,50.0,34.0,0.0,5,4,2,271
271,28.0,89.0,9.0,4.0,0.0,36.0,29.0,1.0,0,1,2,272
272,-84.0,213.0,7.0,4.0,0.0,30.0,42.0,1.0,1,4,0,273
273,-119.0,144.0,5.0,4.0,0.0,24.0,38.0,1.0,-1,4,0,274
274,0.0,110.0,10.0,1.0,0.0,25.0,31.0,0.0,0,1,2,275
275,0.0,0.0,7.0,1.0,0.0,14.0,35.0,1.0,0,0,4,276
276,127.0,74.0,6.0,1.0,0.0,17.0,35.0,0.0,5,4,2,277
277,-143.0,219.0,5.0,1.0,0.0,44.0,46.0,1.0,1,5,1,278
278,0.0,74.0,5.0,1.0,0.0,17.0,20.0,,0,0,4,279
279,77.0,141.0,7.0,2.0,0.0,18.0,36.0,1.0,4,4,0,280
280,-6.0,70.0,6.0,2.0,0.0,35.0,27.0,1.0,0,1,4,281
281,98.0,141.0,2.0,2.0,0.0,38.0,37.0,,4,4,0,282
282,0.0,74.0,2.0,2.0,0.0,8.0,20.0,1.0,0,-1,4,283
283,0.0,0.0,1.0,2.0,0.0,39.0,20.0,1.0,0,0,4,284
284,144.0,215.0,4.883233224643899,2.0,0.0,36.0,45.0,1.0,4,5,1,285
285,-63.0,177.0,11.0,3.0,0.0,24.0,38.0,0.0,1,4,0,286
286,0.0,259.0,7.0,3.0,0.0,20.0,47.0,0.0,4,5,1,287
287,-48.0,78.0,4.0,3.0,0.0,53.0,29.0,1.0,2,1,2,288
288,153.0,74.0,3.0,3.0,0.0,42.0,45.0,0.0,4,5,1,289
289,-56.0,21.0,2.0,3.0,0.0,15.0,25.0,1.0,0,1,4,290
290,0.0,0.0,0.0,3.0,0.0,54.0,20.0,0.0,0,0,4,291
291,201.0,11.0,11.0,4.0,0.0,7.0,40.0,1.0,5,4,0,292
292,51.0,116.0,10.0,4.0,0.0,39.0,32.0,,0,1,2,293
293,0.0,34.0,9.0,1.0,0.0,42.0,44.0,1.0,5,6,1,294
294,123.0,232.0,5.0,1.0,0.0,0.0,46.0,1.0,4,5,1,295
295,-157.0,137.0,3.0,1.0,0.0,30.0,40.0,1.0,1,4,0,296
296,138.0,110.0,11.0,2.0,0.0,8.0,37.0,0.0,4,4,0,297
297,102.0,137.0,8.0,2.0,0.0,40.0,37.0,0.0,4,4,0,298
298,-65.0,106.0,8.0,2.0,0.0,11.0,32.0,,2,1,2,299
299,-115.0,106.0,6.0,2.0,0.0,11.0,35.0,,2,4,-1,300
300,-86.0,55.0,5.0,2.0,0.0,47.0,30.0,,2,4,2,301
301,186.0,17.0,3.0,2.0,0.0,47.0,38.0,0.0,5,4,0,302
302,0.0,0.0,2.0,2.0,0.0,54.0,20.0,1.0,0,-1,4,303
303,0.0,0.0,8.0,3.0,0.0,22.0,20.0,1.0,0,-1,4,304
304,142.0,245.0,7.0,3.0,0.0,22.0,48.0,0.0,4,5,1,305
305,-33.0,70.0,6.0,3.0,0.0,52.0,27.0,0.0,0,-1,4,306
306,-12.0,42.0,6.0,3.0,0.0,48.0,24.0,0.0,0,1,4,307
307,121.0,104.0,4.0,3.0,0.0,58.0,35.0,0.0,5,4,2,308
308,0.0,0.0,4.0,3.0,0.0,3.0,35.0,1.0,0,0,4,309
309,79.0,163.0,3.0,3.0,0.0,18.0,35.0,0.0,4,4,0,310
310,0.0,74.0,4.883233224643899,3.0,0.0,57.0,29.0,0.0,2,4,2,311
311,-124.0,135.0,2.0,3.0,0.0,28.329381850668316,38.0,1.0,1,4,0,312
312,0.0,0.0,1.0,3.0,0.0,15.0,20.0,0.0,0,0,-1,313
313,108.0,74.0,4.883233224643899,3.0,0.0,0.0,62.0,0.0,3,5,3,314
314,-67.0,135.0,10.0,4.0,0.0,32.0,35.0,0.0,0,1,2,315
315,-160.0,224.0,10.0,3.0,0.0,6.0,47.0,1.0,1,5,1,316
316,-117.0,217.0,9.0,4.0,0.0,23.0,44.0,,1,5,1,317
317,-134.0,9.0,4.883233224643899,1.0,0.0,59.0,33.0,1.0,2,4,2,318
318,-122.0,15.0,8.0,1.0,0.0,37.0,32.0,0.0,-1,4,2,319
319,-101.0,116.0,7.0,1.0,0.0,10.0,35.0,0.0,2,4,2,320
320,-29.0,19.0,0.0,1.0,0.0,48.0,23.0,1.0,0,0,4,321
321,-50.0,245.0,0.0,1.0,0.0,24.0,45.0,0.0,0,5,1,322
322,-150.0,74.0,0.0,1.0,0.0,0.0,68.0,0.0,3,3,3,323
323,-29.0,13.0,11.0,2.0,0.0,48.0,35.0,0.0,0,0,4,324
324,0.0,19.0,9.0,2.0,0.0,0.0,23.0,0.0,0,0,-1,325
325,-35.0,74.0,1.0,2.0,0.0,54.0,23.0,0.0,0,0,4,326
