Unnamed: 0,location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,home/away,shot_id_number,type_of_shot
52,24.0,70.0,10.0,1.0,0.0,33.0,27.0,0.0,0,1,4,1,53,18
53,-189.0,-4.0,10.0,1.0,0.0,4.0,38.0,0.0,2,4,0,1,54,23
55,-155.0,194.0,2.0,1.0,0.0,33.0,44.0,0.0,1,5,1,1,56,23
56,1.0,228.0,4.883233224643899,2.0,0.0,26.0,42.0,1.0,0,4,0,1,57,31
57,0.0,0.0,8.0,2.0,0.0,40.0,20.0,1.0,0,0,4,0,58,34
58,0.0,0.0,4.0,2.0,0.0,5.0,20.0,1.0,0,0,4,1,59,1
60,-33.0,108.0,2.0,2.0,0.0,2.0,31.0,0.0,0,1,2,1,61,30
62,0.0,74.0,4.883233224643899,3.0,0.0,32.0,20.0,0.0,0,0,4,1,63,34
63,0.0,21.0,0.0,3.0,0.0,37.0,25.0,0.0,0,1,4,1,64,34
64,121.0,26.0,0.0,3.0,0.0,1.0,32.0,1.0,5,1,2,1,65,39
67,231.0,57.0,8.0,1.0,0.0,17.0,43.0,0.0,5,6,1,0,68,14
68,0.0,0.0,7.0,1.0,0.0,53.0,20.0,1.0,5,0,4,0,69,34
69,0.0,0.0,7.0,1.0,0.0,1.0,20.0,1.0,0,0,4,0,70,1
72,0.0,74.0,7.0,2.0,0.0,56.0,20.0,1.0,0,0,4,0,73,34
73,51.0,57.0,2.0,2.0,0.0,40.0,27.0,0.0,0,0,4,0,74,0
74,167.0,190.0,0.0,2.0,0.0,28.329381850668316,45.0,0.0,4,5,1,0,75,1
76,16.0,57.0,9.0,3.0,0.0,10.0,35.0,0.0,0,1,4,0,77,1
77,-84.0,110.0,7.0,3.0,0.0,24.0,33.0,0.0,2,4,2,0,78,30
78,-71.0,42.0,0.0,3.0,0.0,1.0,28.0,0.0,2,1,2,0,79,12
80,30.0,133.0,5.0,4.0,0.0,1.0,33.0,1.0,0,1,2,0,81,13
81,1.0,156.0,0.0,4.0,0.0,46.0,35.0,0.0,0,4,2,0,82,23
82,132.0,211.0,11.0,1.0,0.0,41.0,44.0,0.0,4,5,1,0,83,7
83,-8.0,4.0,4.883233224643899,1.0,0.0,59.0,20.0,0.0,0,0,4,0,84,4
87,-29.0,188.0,4.883233224643899,1.0,0.0,54.0,39.0,1.0,0,4,0,0,88,2
88,140.0,76.0,2.0,1.0,0.0,24.0,35.0,1.0,5,4,2,0,89,23
89,140.0,0.0,1.0,1.0,0.0,48.0,34.0,1.0,5,4,2,0,90,7
90,-1.0,156.0,1.0,1.0,0.0,25.0,35.0,1.0,0,4,2,0,91,23
92,110.0,76.0,4.883233224643899,2.0,0.0,57.0,33.0,0.0,5,4,2,0,93,23
93,132.0,87.0,9.0,2.0,0.0,37.0,35.0,0.0,5,4,2,0,94,44
95,-58.0,251.0,3.0,2.0,0.0,50.0,45.0,1.0,0,5,1,0,96,23
97,-193.0,150.0,0.0,2.0,0.0,28.329381850668316,44.0,0.0,1,5,1,0,98,47
98,140.0,0.0,0.0,2.0,0.0,48.0,34.0,1.0,5,4,2,0,99,23
99,0.0,9.0,11.0,3.0,0.0,28.329381850668316,24.0,0.0,0,1,4,0,100,23
100,24.0,150.0,9.0,3.0,0.0,20.0,35.0,0.0,0,4,2,0,101,0
101,-1.0,0.0,7.0,3.0,0.0,53.0,20.0,1.0,0,0,4,0,102,1
102,119.0,133.0,6.0,3.0,0.0,40.0,37.0,1.0,4,0,0,0,103,50
104,119.0,19.0,3.0,3.0,0.0,0.0,32.0,0.0,5,4,0,0,105,7
105,-193.0,42.0,0.0,3.0,0.0,48.0,39.0,0.0,2,4,0,0,106,23
106,-166.0,55.0,0.0,3.0,0.0,21.0,37.0,0.0,2,4,0,0,107,23
107,24.0,116.0,10.0,4.0,0.0,39.0,31.0,0.0,0,1,2,0,108,23
108,-65.0,156.0,7.0,4.0,0.0,8.0,36.0,0.0,1,4,0,0,109,23
109,-166.0,26.0,6.0,4.0,0.0,25.0,36.0,1.0,2,4,0,0,110,23
110,-58.0,76.0,5.0,4.0,0.0,14.0,29.0,0.0,2,1,2,0,111,23
111,-37.0,70.0,3.0,4.0,0.0,38.0,27.0,0.0,0,1,4,0,112,23
113,-94.0,188.0,11.0,1.0,0.0,9.0,41.0,0.0,1,4,0,1,114,9
114,0.0,0.0,10.0,1.0,0.0,17.0,20.0,0.0,0,0,4,1,115,34
115,0.0,0.0,4.883233224643899,1.0,0.0,23.0,20.0,0.0,0,0,4,1,116,41
116,0.0,74.0,9.0,1.0,0.0,21.0,20.0,0.0,0,0,4,1,117,45
117,0.0,0.0,3.0,1.0,0.0,2.0,20.0,1.0,0,0,4,0,118,1
118,0.0,0.0,0.0,1.0,0.0,44.0,20.0,1.0,0,0,4,1,119,34
119,85.0,141.0,0.0,1.0,0.0,21.0,36.0,0.0,4,4,0,1,120,23
120,0.0,158.0,8.0,2.0,0.0,50.0,38.0,1.0,1,4,0,1,121,30
123,0.0,74.0,0.0,2.0,0.0,28.329381850668316,20.0,1.0,0,0,4,1,124,50
124,1.0,276.0,0.0,2.0,0.0,4.0,47.0,1.0,0,5,4,1,125,23
126,155.0,-8.0,8.0,3.0,0.0,38.0,35.0,1.0,5,4,2,1,127,23
127,-155.0,13.0,5.0,3.0,0.0,18.0,35.0,1.0,2,4,2,1,128,23
128,-84.0,133.0,4.0,3.0,0.0,34.0,35.0,0.0,2,4,2,0,129,37
129,-178.0,-8.0,3.0,3.0,0.0,51.0,37.0,0.0,2,4,0,1,130,4
130,16.0,89.0,3.0,3.0,0.0,40.0,29.0,0.0,0,1,2,1,131,14
131,-48.0,106.0,3.0,3.0,0.0,33.0,31.0,1.0,0,1,2,1,132,23
134,-119.0,133.0,0.0,3.0,0.0,14.0,37.0,0.0,1,4,0,1,135,23
135,9.0,40.0,10.0,4.0,0.0,52.0,24.0,0.0,0,1,4,1,136,23
136,-84.0,82.0,6.0,4.0,0.0,34.0,31.0,0.0,2,4,2,1,137,23
137,9.0,59.0,4.0,4.0,0.0,57.0,25.0,0.0,0,1,4,1,138,9
138,0.0,0.0,3.0,4.0,0.0,28.0,20.0,1.0,0,0,4,1,139,1
139,9.0,59.0,1.0,4.0,0.0,38.0,25.0,1.0,0,1,4,1,140,39
141,0.0,0.0,1.0,4.0,0.0,3.0,20.0,0.0,0,0,4,0,142,45
142,0.0,0.0,7.0,1.0,0.0,43.0,20.0,0.0,0,0,4,1,143,34
144,0.0,0.0,3.0,1.0,0.0,8.0,20.0,1.0,0,0,4,1,145,1
145,129.0,-4.0,2.0,1.0,0.0,25.0,32.0,1.0,5,4,2,1,146,23
146,-98.0,97.0,0.0,1.0,0.0,48.0,33.0,1.0,2,4,2,1,147,0
147,167.0,78.0,11.0,2.0,0.0,16.0,38.0,0.0,5,4,0,1,148,3
148,108.0,249.0,10.0,2.0,0.0,19.0,47.0,0.0,4,5,1,1,149,23
150,100.0,175.0,9.0,2.0,0.0,7.0,40.0,1.0,4,4,0,1,151,23
153,0.0,0.0,1.0,2.0,0.0,54.0,20.0,0.0,0,0,4,1,154,33
154,0.0,0.0,4.883233224643899,2.0,0.0,28.0,20.0,0.0,0,0,4,1,155,34
156,115.0,169.0,10.0,3.0,0.0,23.0,40.0,0.0,4,4,0,1,157,23
157,1.0,72.0,5.0,3.0,0.0,23.0,27.0,0.0,0,1,4,1,158,23
159,0.0,0.0,0.0,3.0,0.0,37.0,20.0,1.0,0,0,4,1,160,26
160,113.0,230.0,4.883233224643899,3.0,0.0,43.0,45.0,1.0,4,5,1,1,161,23
161,0.0,0.0,10.0,4.0,0.0,28.0,20.0,1.0,0,0,1,1,162,34
162,0.0,0.0,10.0,4.0,0.0,11.0,20.0,1.0,0,0,4,1,163,4
163,0.0,0.0,5.0,4.0,0.0,37.0,20.0,0.0,0,0,4,1,164,33
165,98.0,194.0,11.0,1.0,0.0,42.0,41.0,1.0,4,4,0,0,166,50
166,-117.0,184.0,4.883233224643899,1.0,0.0,7.0,41.0,0.0,1,4,0,0,167,23
167,0.0,-2.0,8.0,1.0,0.0,53.0,36.0,0.0,2,4,0,0,168,23
168,70.0,36.0,8.0,1.0,0.0,16.0,27.0,0.0,0,1,4,0,169,23
169,0.0,0.0,7.0,1.0,0.0,43.0,35.0,0.0,0,0,4,0,170,34
170,-37.0,42.0,2.0,1.0,0.0,47.0,25.0,1.0,0,1,4,0,171,4
172,163.0,116.0,1.0,1.0,0.0,28.329381850668316,40.0,0.0,5,4,0,0,173,12
173,113.0,179.0,8.0,2.0,0.0,13.0,41.0,1.0,4,4,0,0,174,3
174,169.0,-2.0,6.0,2.0,0.0,27.0,36.0,1.0,5,4,0,0,175,23
175,91.0,156.0,0.0,2.0,0.0,52.0,38.0,0.0,5,4,0,0,176,23
176,134.0,93.0,0.0,2.0,0.0,19.0,36.0,0.0,5,4,0,0,177,23
178,11.0,137.0,8.0,3.0,0.0,52.0,33.0,0.0,0,1,3,0,179,23
179,199.0,13.0,2.0,3.0,0.0,55.0,39.0,0.0,5,4,0,0,180,30
180,0.0,236.0,0.0,3.0,0.0,1.0,44.0,0.0,4,5,1,0,181,23
182,11.0,247.0,4.883233224643899,4.0,0.0,18.0,44.0,0.0,0,5,1,0,183,23
183,-103.0,230.0,5.0,4.0,0.0,43.0,45.0,0.0,1,5,1,0,184,23
184,-31.0,247.0,0.0,4.0,0.0,2.0,44.0,1.0,1,5,1,0,185,17
185,-10.0,99.0,2.0,5.0,0.0,5.0,29.0,1.0,0,1,2,0,186,41
186,13.0,100.0,2.0,5.0,0.0,28.329381850668316,30.0,0.0,0,1,2,0,187,34
187,-73.0,200.0,0.0,5.0,0.0,24.0,41.0,1.0,1,4,0,0,188,3
188,0.0,184.0,10.0,1.0,0.0,5.0,39.0,1.0,1,4,0,0,189,44
189,188.0,177.0,9.0,1.0,0.0,7.0,45.0,0.0,4,4,1,0,190,23
190,0.0,0.0,8.0,1.0,0.0,15.0,20.0,0.0,0,0,4,0,191,34
193,-128.0,137.0,4.0,1.0,0.0,22.0,38.0,0.0,1,4,0,0,194,23
194,0.0,0.0,4.0,1.0,0.0,9.0,20.0,1.0,0,0,4,0,195,1
196,1.0,93.0,11.0,2.0,0.0,19.0,29.0,0.0,0,1,2,0,197,23
197,115.0,160.0,6.0,2.0,0.0,51.0,39.0,1.0,4,4,0,0,198,23
198,159.0,200.0,6.0,2.0,0.0,11.0,45.0,1.0,4,5,1,0,199,49
199,167.0,0.0,0.0,2.0,0.0,28.329381850668316,36.0,0.0,5,4,0,0,200,23
200,-162.0,245.0,11.0,3.0,0.0,17.0,49.0,0.0,1,5,1,0,201,23
202,167.0,-6.0,8.0,3.0,0.0,35.0,36.0,0.0,5,4,0,0,203,23
203,-4.0,150.0,6.0,3.0,0.0,24.0,35.0,1.0,0,4,2,0,204,23
205,237.0,19.0,3.0,3.0,0.0,21.0,35.0,1.0,5,6,0,0,206,45
206,-229.0,19.0,0.0,3.0,0.0,47.0,35.0,1.0,2,2,1,0,207,30
207,0.0,0.0,11.0,4.0,0.0,10.0,20.0,0.0,0,0,4,0,208,34
208,0.0,0.0,7.0,4.0,0.0,10.0,20.0,1.0,0,0,4,0,209,17
211,37.0,82.0,1.0,4.0,0.0,18.0,28.0,1.0,0,1,2,0,212,23
212,-42.0,87.0,0.0,4.0,0.0,46.0,29.0,0.0,0,1,2,0,213,23
213,28.0,247.0,9.0,1.0,0.0,3.0,44.0,0.0,0,5,1,1,214,23
214,7.0,74.0,6.0,1.0,0.0,10.0,29.0,0.0,0,1,2,1,215,36
215,0.0,0.0,3.0,1.0,0.0,10.0,20.0,1.0,0,0,4,1,216,4
216,0.0,0.0,0.0,1.0,0.0,13.0,20.0,0.0,0,0,4,1,217,33
217,0.0,0.0,7.0,2.0,0.0,28.329381850668316,20.0,1.0,0,0,4,1,218,4
218,115.0,135.0,6.0,2.0,0.0,3.0,37.0,0.0,4,4,0,1,219,50
219,142.0,184.0,0.0,2.0,0.0,44.0,43.0,0.0,4,4,0,1,220,23
220,0.0,0.0,11.0,3.0,0.0,24.0,20.0,1.0,0,0,4,1,221,1
221,0.0,0.0,10.0,3.0,0.0,19.0,20.0,1.0,0,0,4,1,222,33
222,79.0,163.0,9.0,3.0,0.0,45.0,38.0,0.0,4,4,0,1,223,23
223,142.0,141.0,7.0,3.0,0.0,22.0,40.0,1.0,4,4,0,1,224,40
224,30.0,125.0,4.883233224643899,3.0,0.0,43.0,32.0,0.0,0,1,2,1,225,35
225,-60.0,97.0,4.0,3.0,0.0,55.0,31.0,1.0,2,1,2,1,226,39
226,0.0,0.0,1.0,3.0,0.0,34.0,20.0,0.0,0,0,4,1,227,34
228,115.0,245.0,11.0,4.0,0.0,13.0,47.0,0.0,4,5,1,1,229,23
229,-132.0,184.0,10.0,4.0,0.0,52.0,35.0,0.0,1,4,0,1,230,31
230,0.0,0.0,10.0,4.0,0.0,12.0,20.0,0.0,0,0,4,1,231,34
231,0.0,0.0,10.0,4.0,0.0,8.0,20.0,0.0,0,0,4,1,232,34
232,-25.0,76.0,2.0,4.0,0.0,28.329381850668316,28.0,1.0,0,1,2,1,233,23
233,-145.0,108.0,1.0,4.0,0.0,37.0,38.0,0.0,1,4,0,1,234,3
234,-208.0,-29.0,0.0,4.0,0.0,31.0,41.0,0.0,2,4,0,1,235,40
235,-105.0,148.0,10.0,1.0,0.0,5.0,38.0,1.0,1,4,0,1,236,11
236,-48.0,175.0,8.0,1.0,0.0,0.0,38.0,0.0,0,4,0,1,237,23
237,0.0,247.0,4.0,1.0,0.0,58.0,45.0,0.0,0,5,1,1,238,23
238,0.0,0.0,2.0,1.0,0.0,36.0,20.0,1.0,0,0,4,1,239,34
239,0.0,0.0,2.0,1.0,0.0,20.0,20.0,0.0,0,0,4,1,240,34
240,0.0,0.0,2.0,1.0,0.0,8.0,20.0,1.0,0,0,4,1,241,4
241,142.0,226.0,1.0,1.0,0.0,43.0,46.0,1.0,4,5,1,1,242,45
242,0.0,0.0,10.0,2.0,0.0,17.0,20.0,1.0,0,0,4,1,243,1
243,-63.0,171.0,9.0,2.0,0.0,16.0,38.0,1.0,1,4,0,0,244,23
244,0.0,0.0,3.0,2.0,0.0,34.0,20.0,1.0,0,0,4,1,245,1
245,64.0,74.0,2.0,2.0,0.0,30.0,38.0,1.0,4,4,0,0,246,53
246,0.0,0.0,9.0,3.0,0.0,52.0,20.0,1.0,0,0,4,1,247,1
247,0.0,0.0,9.0,3.0,0.0,12.0,35.0,1.0,0,0,4,1,248,34
248,115.0,236.0,6.0,3.0,0.0,31.0,46.0,1.0,4,5,1,1,249,48
250,163.0,7.0,5.0,3.0,0.0,20.0,36.0,0.0,5,0,0,1,251,23
251,0.0,0.0,2.0,3.0,0.0,6.0,20.0,0.0,0,0,4,0,252,33
252,0.0,0.0,2.0,3.0,0.0,0.0,20.0,1.0,0,0,4,1,253,34
253,0.0,74.0,1.0,3.0,0.0,26.0,35.0,1.0,0,0,4,1,254,33
254,64.0,40.0,10.0,1.0,0.0,33.0,27.0,0.0,0,0,4,1,255,8
255,-105.0,-2.0,7.0,1.0,0.0,33.0,30.0,1.0,0,4,2,1,256,39
257,0.0,0.0,5.0,1.0,0.0,52.0,20.0,1.0,0,0,4,1,258,34
258,64.0,95.0,3.0,1.0,0.0,56.0,31.0,1.0,5,1,2,1,259,24
260,-132.0,2.0,1.0,1.0,0.0,4.0,33.0,1.0,2,4,2,1,261,54
262,0.0,0.0,9.0,3.0,0.0,45.0,20.0,1.0,0,0,4,1,263,52
264,-132.0,154.0,6.0,3.0,0.0,24.0,40.0,0.0,1,4,0,1,265,23
265,0.0,0.0,5.0,3.0,0.0,58.0,20.0,1.0,0,0,4,1,266,33
267,235.0,23.0,2.0,3.0,0.0,42.0,43.0,0.0,5,6,1,1,268,11
268,28.0,175.0,0.0,3.0,0.0,21.0,37.0,1.0,0,4,0,1,269,23
269,184.0,171.0,11.0,4.0,0.0,38.0,45.0,1.0,4,5,1,1,270,39
270,127.0,61.0,9.0,4.0,0.0,50.0,34.0,0.0,5,4,2,1,271,23
271,28.0,89.0,9.0,4.0,0.0,36.0,29.0,1.0,0,1,2,1,272,7
272,-84.0,213.0,7.0,4.0,0.0,30.0,42.0,1.0,1,4,0,1,273,23
273,-119.0,144.0,5.0,4.0,0.0,24.0,38.0,1.0,1,4,0,1,274,39
274,0.0,110.0,10.0,1.0,0.0,25.0,31.0,0.0,0,1,2,0,275,23
275,0.0,0.0,7.0,1.0,0.0,14.0,35.0,1.0,0,0,4,0,276,34
276,127.0,74.0,6.0,1.0,0.0,17.0,35.0,0.0,5,4,2,0,277,23
277,-143.0,219.0,5.0,1.0,0.0,44.0,46.0,1.0,1,5,1,0,278,23
279,77.0,141.0,7.0,2.0,0.0,18.0,36.0,1.0,4,4,0,0,280,23
280,-6.0,70.0,6.0,2.0,0.0,35.0,27.0,1.0,0,1,4,0,281,39
282,0.0,74.0,2.0,2.0,0.0,8.0,20.0,1.0,0,4,4,0,283,34
283,0.0,0.0,1.0,2.0,0.0,39.0,20.0,1.0,0,0,4,0,284,33
284,144.0,215.0,4.883233224643899,2.0,0.0,36.0,45.0,1.0,4,5,1,0,285,23
285,-63.0,177.0,11.0,3.0,0.0,24.0,38.0,0.0,1,4,0,0,286,40
286,0.0,259.0,7.0,3.0,0.0,20.0,47.0,0.0,4,5,1,0,287,23
287,-48.0,78.0,4.0,3.0,0.0,53.0,29.0,1.0,2,1,2,0,288,7
288,153.0,74.0,3.0,3.0,0.0,42.0,45.0,0.0,4,5,1,0,289,23
289,-56.0,21.0,2.0,3.0,0.0,15.0,25.0,1.0,0,1,4,0,290,51
290,0.0,0.0,0.0,3.0,0.0,54.0,20.0,0.0,0,0,4,0,291,34
291,201.0,11.0,11.0,4.0,0.0,7.0,40.0,1.0,5,4,0,0,292,14
293,0.0,34.0,9.0,1.0,0.0,42.0,44.0,1.0,5,6,1,1,294,23
294,123.0,232.0,5.0,1.0,0.0,0.0,46.0,1.0,4,5,1,1,295,23
295,-157.0,137.0,3.0,1.0,0.0,30.0,40.0,1.0,1,4,0,1,296,23
296,138.0,110.0,11.0,2.0,0.0,8.0,37.0,0.0,4,4,0,1,297,23
297,102.0,137.0,8.0,2.0,0.0,40.0,37.0,0.0,4,4,0,1,298,23
301,186.0,17.0,3.0,2.0,0.0,47.0,38.0,0.0,5,4,0,1,302,23
302,0.0,0.0,2.0,2.0,0.0,54.0,20.0,1.0,0,4,4,1,303,34
303,0.0,0.0,8.0,3.0,0.0,22.0,20.0,1.0,0,4,4,1,304,1
304,142.0,245.0,7.0,3.0,0.0,22.0,48.0,0.0,4,5,1,1,305,50
305,-33.0,70.0,6.0,3.0,0.0,52.0,27.0,0.0,0,5,4,1,306,38
306,-12.0,42.0,6.0,3.0,0.0,48.0,24.0,0.0,0,1,4,1,307,23
307,121.0,104.0,4.0,3.0,0.0,58.0,35.0,0.0,5,4,2,1,308,12
308,0.0,0.0,4.0,3.0,0.0,3.0,35.0,1.0,0,0,4,1,309,34
309,79.0,163.0,3.0,3.0,0.0,18.0,35.0,0.0,4,4,0,0,310,23
310,0.0,74.0,4.883233224643899,3.0,0.0,57.0,29.0,0.0,2,4,2,1,311,22
311,-124.0,135.0,2.0,3.0,0.0,28.329381850668316,38.0,1.0,1,4,0,1,312,23
312,0.0,0.0,1.0,3.0,0.0,15.0,20.0,0.0,0,0,0,1,313,1
314,-67.0,135.0,10.0,4.0,0.0,32.0,35.0,0.0,0,1,2,0,315,23
315,-160.0,224.0,10.0,4.0,0.0,6.0,47.0,1.0,1,5,1,1,316,23
317,-134.0,9.0,4.883233224643899,1.0,0.0,59.0,33.0,1.0,2,4,2,0,318,23
318,-122.0,15.0,8.0,1.0,0.0,37.0,32.0,0.0,2,4,2,0,319,23
319,-101.0,116.0,7.0,1.0,0.0,10.0,35.0,0.0,2,4,2,0,320,23
320,-29.0,19.0,0.0,1.0,0.0,48.0,23.0,1.0,0,0,4,0,321,39
321,-50.0,245.0,0.0,1.0,0.0,24.0,45.0,0.0,0,5,1,0,322,23
323,-29.0,13.0,11.0,2.0,0.0,48.0,35.0,0.0,0,0,4,0,324,33
324,0.0,19.0,9.0,2.0,0.0,0.0,23.0,0.0,0,0,4,0,325,23
325,-35.0,74.0,1.0,2.0,0.0,54.0,23.0,0.0,0,0,4,0,326,18
328,0.0,0.0,9.0,3.0,0.0,37.0,20.0,1.0,0,0,4,0,329,4
329,167.0,207.0,9.0,3.0,0.0,6.0,46.0,0.0,4,5,1,0,330,25
330,0.0,0.0,7.0,3.0,0.0,2.0,20.0,1.0,4,0,4,0,331,4
331,60.0,177.0,3.0,3.0,0.0,45.0,38.0,1.0,4,4,0,0,332,23
332,0.0,0.0,4.883233224643899,3.0,0.0,28.0,20.0,1.0,0,0,4,0,333,34
333,-86.0,253.0,9.0,1.0,0.0,34.0,46.0,0.0,1,5,1,1,334,41
335,172.0,68.0,7.0,1.0,0.0,28.0,38.0,1.0,5,4,0,1,336,38
336,-50.0,28.0,6.0,1.0,0.0,35.0,25.0,0.0,0,1,4,1,337,30
337,-86.0,165.0,4.883233224643899,1.0,0.0,30.0,38.0,1.0,1,4,0,1,338,5
338,-79.0,28.0,4.0,1.0,0.0,50.0,28.0,0.0,2,1,2,1,339,23
339,0.0,74.0,4.0,1.0,0.0,4.0,20.0,1.0,0,0,4,1,340,1
340,18.0,144.0,2.0,1.0,0.0,33.0,34.0,0.0,0,4,2,1,341,47
341,123.0,55.0,2.0,1.0,0.0,0.0,33.0,0.0,5,4,2,1,342,23
342,0.0,0.0,0.0,1.0,0.0,7.0,20.0,0.0,0,0,4,1,343,34
343,-170.0,-15.0,4.0,2.0,0.0,40.0,37.0,0.0,2,4,0,1,344,23
344,159.0,116.0,4.0,2.0,0.0,14.0,39.0,1.0,4,4,0,1,345,39
346,32.0,148.0,11.0,3.0,0.0,28.329381850668316,35.0,1.0,0,4,2,1,347,23
348,5.0,198.0,9.0,3.0,0.0,10.0,39.0,0.0,0,4,4,0,349,23
349,-149.0,247.0,6.0,3.0,0.0,27.0,48.0,0.0,1,5,1,0,350,34
350,0.0,0.0,5.0,3.0,0.0,59.0,20.0,1.0,0,0,4,1,351,34
351,-79.0,133.0,4.0,3.0,0.0,41.0,35.0,1.0,2,1,2,1,352,23
352,-23.0,40.0,3.0,3.0,0.0,8.0,35.0,0.0,0,1,4,1,353,23
353,66.0,154.0,0.0,3.0,0.0,37.0,36.0,1.0,4,4,0,1,354,23
354,-86.0,257.0,0.0,3.0,0.0,0.0,47.0,1.0,1,5,1,1,355,23
355,75.0,198.0,11.0,4.0,0.0,42.0,41.0,0.0,4,4,0,1,356,23
356,0.0,0.0,11.0,4.0,0.0,0.0,20.0,1.0,0,0,4,1,357,4
357,-58.0,68.0,9.0,4.0,0.0,42.0,28.0,1.0,2,1,4,1,358,1
358,60.0,61.0,9.0,4.0,0.0,7.0,28.0,1.0,5,1,2,1,359,23
360,-50.0,17.0,6.0,4.0,0.0,49.0,25.0,0.0,0,1,4,1,361,23
361,0.0,0.0,6.0,4.0,0.0,38.0,20.0,1.0,0,0,4,1,362,1
362,0.0,209.0,4.0,4.0,0.0,0.0,40.0,0.0,0,4,0,1,363,23
363,-136.0,160.0,0.0,4.0,0.0,51.0,40.0,1.0,1,4,0,1,364,23
365,60.0,127.0,10.0,1.0,0.0,26.0,34.0,1.0,0,1,2,0,366,29
366,87.0,133.0,9.0,1.0,0.0,11.0,35.0,0.0,5,4,2,1,367,23
367,39.0,82.0,8.0,1.0,0.0,34.0,29.0,1.0,0,1,2,1,368,23
368,-149.0,2.0,6.0,1.0,0.0,46.0,34.0,0.0,2,4,2,1,369,23
369,110.0,243.0,5.0,1.0,0.0,26.0,46.0,1.0,4,5,1,1,370,23
